location,zone,month,GHI_monthly,DNI_monthly
Mugu,High Mountain,12,89.2078947368421,110.2057894736842
Mustang,High Mountain,1,140.78947368421052,212.5115789473684
Mustang,High Mountain,2,152.26263157894738,188.38947368421054
Mustang,High Mountain,3,209.08315789473684,234.5515789473684
Mustang,High Mountain,4,226.86315789473682,229.88631578947368
Mustang,High Mountain,5,224.5415789473684,206.92315789473685
Mustang,High Mountain,6,181.47,149.21052631578948
Mustang,High Mountain,7,144.05736842105264,90.28947368421052
Mustang,High Mountain,8,142.45947368421054,97.47368421052632
Mustang,High Mountain,9,149.4978947368421,132.4715789473684
Mustang,High Mountain,10,163.39315789473685,201.4663157894737
Mustang,High Mountain,11,136.42,207.35631578947368
Mustang,High Mountain,12,129.01315789473685,216.65526315789472
Myagdi,Western Hills,1,100.58315789473684,129.4621052631579
Myagdi,Western Hills,2,105.31684210526316,112.96105263157894
Myagdi,Western Hills,3,159.43368421052634,163.02157894736843
Myagdi,Western Hills,4,172.1236842105263,150.95894736842106
Myagdi,Western Hills,5,165.0257894736842,123.55105263157894
Myagdi,Western Hills,6,128.41421052631577,79.51
Myagdi,Western Hills,7,99.13052631578948,44.80368421052631
Myagdi,Western Hills,8,102.7836842105263,53.1978947368421
Myagdi,Western Hills,9,109.38473684210526,78.84631578947368
Myagdi,Western Hills,10,124.02157894736841,125.50473684210527
Myagdi,Western Hills,11,106.66789473684211,134.82894736842104
Myagdi,Western Hills,12,97.59368421052632,133.12894736842105
Nawalpur,Inner Terai,1,118.65578947368421,174.69894736842107
Nawalpur,Inner Terai,2,128.31947368421052,168.16684210526316
Nawalpur,Inner Terai,3,178.58842105263156,213.25315789473683
Nawalpur,Inner Terai,4,192.82894736842104,206.27315789473684
Nawalpur,Inner Terai,5,188.90842105263158,185.90578947368422
Nawalpur,Inner Terai,6,148.56947368421052,124.03473684210526
Nawalpur,Inner Terai,7,112.61105263157896,71.29684210526317
Nawalpur,Inner Terai,8,117.33842105263157,82.20842105263158
Nawalpur,Inner Terai,9,118.53842105263158,101.64894736842105
Nawalpur,Inner Terai,10,135.91105263157894,161.33789473684212
Nawalpur,Inner Terai,11,120.06263157894738,175.52052631578945
Nawalpur,Inner Terai,12,112.59947368421052,175.21526315789475
Nuwakot,Central Hills,1,118.82473684210527,175.32
Nuwakot,Central Hills,2,126.73526315789472,165.71263157894737
Nuwakot,Central Hills,3,173.36684210526317,203.85526315789474
Nuwakot,Central Hills,4,186.96,191.7015789473684
Nuwakot,Central Hills,5,182.9678947368421,168.1605263157895
Nuwakot,Central Hills,6,142.98631578947368,107.3878947368421
Nuwakot,Central Hills,7,104.96473684210525,52.38157894736842
Nuwakot,Central Hills,8,112.59210526315789,65.47736842105263
Nuwakot,Central Hills,9,117.14421052631577,92.4257894736842
