location,zone,ghi_mean,ghi_std,ghi_count,P50,P75,P90,P99,P90_P50_ratio,P99_P50_ratio
Dhanusha,Madhesh Terai,1742.5726315789473,48.494715616137555,19,1742.5726315789473,1709.8871932536706,1680.402406159059,1629.7739230558113,0.9643227350795956,0.9352688625547109
Terhathum,Eastern Hills,1547.3663157894737,42.99013248674704,19,1547.3663157894737,1518.3909664934063,1492.252965941464,1447.3712676253,0.9643824805505795,0.9353772619037816
Bara,Madhesh Terai,1797.2857894736842,49.85234423506073,19,1797.2857894736842,1763.6853094592532,1733.3750841643364,1681.3292367829329,0.9644404325212723,0.9354824072109823
Mahottari,Madhesh Terai,1770.125789473684,48.633522425470886,19,1770.125789473684,1737.3467953589168,1707.7776137242304,1657.0042163120388,0.964777545121247,0.9360940483245092
Taplejung,Eastern Hills,1524.8647368421052,41.83781162861348,19,1524.8647368421052,1496.6660518044198,1471.2286623342227,1427.5499869939504,0.9648256837396874,0.9361813887507903
Rautahat,Madhesh Terai,1788.2931578947369,48.865711456402,19,1788.2931578947369,1755.357668373122,1725.6473158076294,1674.6315130471457,0.9649689192118495,0.9364412683984101
Ilam,Eastern Hills,1553.3168421052633,41.31381152601414,19,1553.3168421052633,1525.4713331367298,1500.3525357289132,1457.2209164957544,0.9659024450513485,0.9381350134082967
Dadeldhura,Far-West Hills,1670.703157894737,44.060171615723675,19,1670.703157894737,1641.0066022257392,1614.2180178833792,1568.2191987165636,0.966190798320789,0.9386581879049574
Achham,Far-West Hills,1602.66,41.42249214563935,19,1602.66,1574.7412402938392,1549.5563650692905,1506.311283269243,0.9668653145828126,0.939881998221234
Kalikot,Mid-West Hills,1690.628947368421,43.33444022877784,19,1690.628947368421,1661.4215346542248,1635.0741949951278,1589.8330393962838,0.9671395947290693,0.9403796391106204
Morang,Eastern Terai,1633.8768421052632,41.48210217171736,19,1633.8768421052632,1605.9179052415257,1580.6967871211216,1537.3894724538486,0.9674516134792518,0.9409457511331822
Jhapa,Eastern Terai,1600.3573684210526,40.395027037455094,19,1600.3573684210526,1573.1311201978078,1548.5709437590351,1506.398535531932,0.9676407122034805,0.9412888428902463
Kanchanpur,Far-West Terai,1737.4042105263159,42.66528660734095,19,1737.4042105263159,1708.6478073529681,1682.7073130957046,1638.1647538776408,0.9685180356423554,0.9428806169298898
Darchula,Far-West Hills,1672.6726315789474,41.07355703046062,19,1672.6726315789474,1644.989054140417,1620.0163314658969,1577.135537926096,0.9685196618161052,0.9428835673824187
Jumla,High Mountain,1843.5384210526317,44.85479985007893,19,1843.5384210526317,1813.3062859536785,1786.0345676448305,1739.206156601348,0.9688078898974248,0.9434065147436898
Kailali,Far-West Terai,1737.0794736842106,42.10830288588965,19,1737.0794736842106,1708.698477539121,1683.0966293845001,1639.1355611716313,0.9689232155940355,0.9436157562181954
Mustang,High Mountain,1999.8510526315788,48.00527979003246,19,1999.8510526315788,1967.495494053097,1938.308283940757,1888.1907718399632,0.9692263238255477,0.9441657014182715
Bajura,Far-West Hills,1662.5673684210526,39.698455027607224,19,1662.5673684210526,1635.8106097324453,1611.6739490756602,1570.2287620268382,0.969388657378903,0.9444602317186649
Doti,Far-West Hills,1607.91,38.27485292808664,19,1607.91,1582.1127491264697,1558.841638546193,1518.8826920892707,0.9694831418090522,0.9446316597877186
Dolpa,High Mountain,1818.4989473684209,41.94419359825845,19,1818.4989473684209,1790.2285608831946,1764.7264911754535,1720.9367530588718,0.9704303066709044,0.9463501507929202
Bajhang,Far-West Hills,1491.9284210526316,33.103951469937485,19,1491.9284210526316,1469.6163577618938,1449.4891552681718,1414.928629933557,0.9715540871897079,0.9483890848699381
Mugu,High Mountain,1701.4015789473685,37.32373749642116,19,1701.4015789473685,1676.2453798747806,1653.5525474769565,1614.586565530693,0.9718766973873296,0.9489744135124251
Humla,High Mountain,1748.463157894737,33.95319475274948,19,1748.463157894737,1725.5787046313837,1704.935162221712,1669.4880268998415,0.9751049969360319,0.9548316871085882
